week,period_start,period_end,stars_total,stars_delta,visitors_window,clones_window,en_impressions,ja_impressions,first_run_reports,setup_blockers,decision
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
